T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
20.79,21.056,20.859,20.645,20.724,20.771,20.765,20.791,20.962,20.822,20.876,20.948,20.805,20.927,20.964,20.808,20.906,20.757,20.748,20.148
20.793,20.726,20.95,20.934,20.719,20.74,20.778,20.813,20.948,20.822,20.849,20.973,20.835,20.921,20.961,20.83,20.922,20.754,20.731,20.197
20.848,20.819,21.024,20.667,20.732,20.82,20.773,20.813,20.965,20.805,20.871,20.954,20.821,20.976,20.97,20.885,20.889,20.754,20.726,20.216
20.977,20.995,21.156,20.857,20.829,21.005,20.831,20.865,20.97,20.866,20.904,20.99,20.89,21.026,21.038,20.883,20.892,20.759,20.759,20.156
21.104,21.174,21.322,21.03,20.917,21.14,20.875,20.904,21.012,20.91,20.959,21.034,20.962,21.081,21.085,20.885,20.897,20.806,20.781,20.181
21.236,21.329,21.399,21.138,21.016,21.28,20.938,21,21.059,20.976,21,21.103,21.069,21.147,21.154,20.905,20.922,20.839,20.833,20.189
21.352,21.37,21.553,21.245,21.079,21.398,21.001,21.061,21.116,21.086,21.08,21.18,21.13,21.221,21.248,20.894,20.947,20.891,20.888,20.225
21.418,21.491,21.666,21.38,21.162,21.492,21.117,21.132,21.188,21.158,21.143,21.224,21.209,21.307,21.325,20.924,20.925,20.944,20.968,20.2
21.511,21.634,21.784,21.487,21.247,21.602,21.186,21.223,21.26,21.235,21.212,21.309,21.328,21.367,21.391,20.888,20.908,20.988,21.015,20.142
21.566,21.697,21.889,21.57,21.327,21.671,21.307,21.328,21.317,21.315,21.289,21.386,21.388,21.444,21.493,20.907,20.933,21.062,21.075,20.134
21.66,21.788,21.968,21.724,21.39,21.773,21.378,21.408,21.389,21.403,21.374,21.491,21.485,21.535,21.592,20.905,20.914,21.114,21.15,20.156
21.743,21.868,22.032,21.782,21.459,21.85,21.489,21.485,21.45,21.488,21.446,21.576,21.6,21.618,21.68,20.902,20.936,21.186,21.202,20.17
21.798,21.967,22.147,21.867,21.523,21.949,21.574,21.556,21.538,21.587,21.529,21.67,21.7,21.714,21.784,20.913,20.942,21.26,21.279,20.219
21.888,22.102,22.172,21.958,21.611,22.029,21.681,21.666,21.606,21.684,21.628,21.752,21.796,21.791,21.883,20.905,20.969,21.343,21.367,20.214
21.963,22.121,22.291,22.079,21.668,22.081,21.775,21.732,21.683,21.763,21.696,21.857,21.887,21.857,21.983,20.916,20.947,21.412,21.458,20.161
22.043,22.203,22.357,22.112,21.726,22.177,21.855,21.826,21.733,21.876,21.79,21.942,21.961,21.945,22.101,20.905,20.955,21.489,21.527,20.117
22.081,22.274,22.457,22.229,21.803,22.253,21.984,21.917,21.81,21.967,21.867,22.036,22.066,22.042,22.183,20.907,20.953,21.549,21.59,20.139
22.144,22.339,22.504,22.363,21.858,22.299,22.075,21.988,21.879,22.044,21.939,22.135,22.153,22.113,22.278,20.921,20.972,21.651,21.678,20.159
22.204,22.434,22.605,22.406,21.938,22.367,22.201,22.074,21.964,22.151,22.005,22.224,22.246,22.217,22.384,20.918,20.964,21.742,21.747,20.131
22.289,22.5,22.632,22.436,21.982,22.449,22.29,22.159,22.017,22.244,22.087,22.325,22.338,22.279,22.482,20.924,20.955,21.792,21.846,20.123
22.329,22.546,22.711,22.575,22.032,22.512,22.391,22.265,22.094,22.342,22.191,22.404,22.431,22.356,22.588,20.913,20.983,21.882,21.918,20.103
22.381,22.587,22.803,22.621,22.101,22.593,22.467,22.338,22.159,22.448,22.267,22.502,22.524,22.437,22.684,20.885,20.977,21.971,21.967,20.068
22.497,22.732,22.834,22.694,22.167,22.672,22.587,22.436,22.239,22.509,22.353,22.618,22.624,22.533,22.774,20.885,20.966,22.015,22.069,20.043
22.522,22.776,22.968,22.825,22.238,22.732,22.679,22.526,22.305,22.623,22.416,22.724,22.722,22.598,22.88,20.899,20.997,22.105,22.149,20.04
22.577,22.859,22.991,22.836,22.272,22.762,22.762,22.581,22.38,22.726,22.493,22.788,22.807,22.704,23,20.921,20.991,22.184,22.249,20.103
22.711,22.926,23.105,22.969,22.362,22.854,22.86,22.694,22.457,22.815,22.61,22.904,22.891,22.794,23.087,20.916,21.008,22.265,22.328,20.114
22.818,23.053,23.192,23.033,22.446,22.953,22.99,22.778,22.523,22.911,22.692,22.995,22.98,22.846,23.198,20.89,20.935,22.341,22.403,20.014
